timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2024/10/15 12:25:29,800,HTTP Request,200,OK,Thread Group 1-1,text,true,,130232,236,2,2,https://open.spotify.com/,52,0,21
2024/10/15 12:25:29,52,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,322,118,2,2,http://open.spotify.com/,52,0,21
2024/10/15 12:25:29,747,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,129910,118,2,2,https://open.spotify.com/,675,0,82
2024/10/15 12:25:30,696,HTTP Request,200,OK,Thread Group 1-2,text,true,,130049,236,2,2,https://open.spotify.com/,29,0,15
2024/10/15 12:25:30,29,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,322,118,2,2,http://open.spotify.com/,29,0,15
2024/10/15 12:25:30,666,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,129727,118,2,2,https://open.spotify.com/,610,0,50
2024/10/15 12:25:30,1504,HTTP Request,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 1,504 milliseconds, but should not have lasted longer than 1,200 milliseconds.",130407,236,3,3,https://open.spotify.com/,28,0,13
2024/10/15 12:25:30,28,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,,true,,322,118,3,3,http://open.spotify.com/,28,0,13
2024/10/15 12:25:30,1475,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,130085,118,3,3,https://open.spotify.com/,1280,0,38
2024/10/15 12:25:31,991,HTTP Request,200,OK,Thread Group 1-5,text,true,,130455,236,2,2,https://open.spotify.com/,128,0,111
2024/10/15 12:25:31,128,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,,true,,322,118,2,2,http://open.spotify.com/,128,0,111
2024/10/15 12:25:31,862,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,130133,118,2,2,https://open.spotify.com/,642,0,42
2024/10/15 12:25:31,2138,HTTP Request,502,Bad Gateway,Thread Group 1-4,text,false,Test failed: code expected to contain /200/,9306,236,1,1,https://open.spotify.com/,29,0,15
2024/10/15 12:25:31,29,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,,true,,322,118,1,1,http://open.spotify.com/,29,0,15
2024/10/15 12:25:31,2108,HTTP Request-1,502,Bad Gateway,Thread Group 1-4,text,false,,8984,118,1,1,https://open.spotify.com/,2107,0,48
2024/10/17 10:39:25,942,HTTP Request,200,OK,Thread Group 1-1,text,true,,130258,236,2,2,https://open.spotify.com/,123,0,105
2024/10/17 10:39:26,677,HTTP Request,200,OK,Thread Group 1-2,text,true,,130124,236,3,3,https://open.spotify.com/,41,0,15
2024/10/17 10:39:25,123,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,322,118,2,2,http://open.spotify.com/,123,0,105
2024/10/17 10:39:25,817,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,129936,118,2,2,https://open.spotify.com/,644,0,70
2024/10/17 10:39:26,41,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,322,118,3,3,http://open.spotify.com/,41,0,15
2024/10/17 10:39:26,634,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,129802,118,3,3,https://open.spotify.com/,549,0,68
2024/10/17 10:39:26,857,HTTP Request,200,OK,Thread Group 1-3,text,true,,130417,236,2,2,https://open.spotify.com/,69,0,14
2024/10/17 10:39:26,69,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,,true,,322,118,2,2,http://open.spotify.com/,69,0,14
2024/10/17 10:39:26,787,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,130095,118,2,2,https://open.spotify.com/,635,0,68
2024/10/17 10:39:27,722,HTTP Request,200,OK,Thread Group 1-4,text,true,,130305,236,2,2,https://open.spotify.com/,34,0,17
2024/10/17 10:39:27,34,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,,true,,322,118,2,2,http://open.spotify.com/,34,0,17
2024/10/17 10:39:27,687,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,129983,118,2,2,https://open.spotify.com/,613,0,55
2024/10/17 10:39:27,667,HTTP Request,200,OK,Thread Group 1-5,text,true,,130005,236,1,1,https://open.spotify.com/,30,0,16
2024/10/17 10:39:27,30,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,,true,,322,118,1,1,http://open.spotify.com/,30,0,16
2024/10/17 10:39:27,636,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,129683,118,1,1,https://open.spotify.com/,583,0,49
2024/11/19 10:42:47,469,HTTP Request,200,OK,Thread Group 1-1,text,false,The markup in the document preceding the root element must be well-formed.,23206,228,1,1,http://www.google.com/,259,0,19
2024/11/19 10:42:47,260,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,773,112,1,1,http://google.com/,259,0,19
2024/11/19 10:42:47,208,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,22433,116,1,1,http://www.google.com/,193,0,8
2024/11/19 10:42:47,432,HTTP Request,200,OK,Thread Group 1-2,text,false,The markup in the document preceding the root element must be well-formed.,23326,228,1,1,http://www.google.com/,240,0,6
2024/11/19 10:42:47,240,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,773,112,1,1,http://google.com/,240,0,6
2024/11/19 10:42:48,190,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,22553,116,1,1,http://www.google.com/,184,0,6
2024/11/19 10:42:48,491,HTTP Request,200,OK,Thread Group 1-3,text,false,The markup in the document preceding the root element must be well-formed.,23326,228,1,1,http://www.google.com/,228,0,10
2024/11/19 10:42:48,228,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,773,112,1,1,http://google.com/,228,0,10
2024/11/19 10:42:48,261,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,22553,116,1,1,http://www.google.com/,257,0,8
2024/11/19 10:42:49,437,HTTP Request,200,OK,Thread Group 1-4,text,false,The markup in the document preceding the root element must be well-formed.,23319,228,1,1,http://www.google.com/,231,0,7
2024/11/19 10:42:49,231,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,773,112,1,1,http://google.com/,231,0,7
